config,workload,rate_rps,seed,n,n_ok,n_shed,n_error,offered_rps,throughput_rps,goodput_rps,slo_attainment,slo_attainment_admitted,shed_rate,admitted_rps,mean_output_tokens,output_tok_per_s,window_s,ttft_p50,ttft_p95,ttft_p99,e2e_p50,e2e_p95,e2e_p99,itl_p50,itl_p95,itl_p99,shared_fraction
continuous,mixed,0.6,0,105,105,0,0,0.7571869571963811,0.7571869571963811,0.6562286962368636,0.8666666666666667,0.8666666666666667,0.0,0.7571869571963811,54.61904761904762,41.356830471630914,138.67116833176988,0.36126929441525135,0.7124971293815178,0.8984983424999513,1.3537849398708204,4.949596116473549,6.203056706614436,0.01629687500098953,0.05424894360403414,0.3182571570733853,0.7619047619047619
continuous,mixed,0.6,1,88,88,0,0,0.6185651503158378,0.6185651503158378,0.5623319548325798,0.9090909090909091,0.9090909090909091,0.0,0.6185651503158378,63.18181818181818,39.0820708608643,142.26472337645828,0.3669614404498134,0.6215153751138132,0.7224006946048752,1.337753121588321,4.18696476139812,4.414316477030079,0.0152953545039054,0.030716568753996396,0.3083008840677212,0.6704545454545454
continuous,mixed,0.6,2,111,111,0,0,0.7922037184594458,0.7922037184594458,0.7136970436571585,0.9009009009009009,0.9009009009009009,0.0,0.7922037184594458,65.01801801801801,51.507515640737125,140.11547461031296,0.3659979801159352,0.7392399660457158,0.8139122533495539,1.2564740674861241,5.440969114213658,8.192886298430679,0.015518458501901478,0.031652437242883025,0.3059080872008053,0.7567567567567568
continuous,mixed,1.0,0,182,182,0,0,1.2337959126067077,1.2337959126067077,0.7795963184053374,0.6318681318681318,0.6318681318681318,0.0,1.2337959126067077,59.362637362637365,73.24137933957621,147.51224099574029,0.45128110038058367,1.3960386027276384,1.8271953917670172,2.901614673988661,10.931375991510867,15.859215044100118,0.021969041496049613,0.34122698752034913,0.3837669354316312,0.7417582417582418
continuous,mixed,1.0,1,152,152,0,0,1.0245623598514155,1.0245623598514155,0.8425677301409668,0.8223684210526315,0.8223684210526315,0.0,1.0245623598514155,57.0,58.40005451153068,148.3560259055812,0.38609104065108113,0.8711894176987695,1.048553827973374,1.8375769939739257,7.026290417238469,11.036985754245256,0.017708187515381724,0.1379735459355288,0.3428059798802133,0.6907894736842105
continuous,mixed,1.0,2,183,183,0,0,1.2509421360776072,1.2509421360776072,0.8134541759193183,0.6502732240437158,0.6502732240437158,0.0,1.2509421360776072,66.50273224043715,83.19106992384961,146.28974012643448,0.41288442199584097,1.193619979175856,1.3611401575541837,2.7758375285193324,11.892826452394367,14.921232618374649,0.02352516699465923,0.31896001238492294,0.3626267827645642,0.7049180327868853
continuous,mixed,1.4,0,247,247,0,0,1.6703660270217098,1.6703660270217098,0.04057569296409012,0.024291497975708502,0.024291497975708502,0.0,1.6703660270217098,66.4251012145749,110.95423241030443,147.87178139656316,6.022239262238145,14.633620349309055,16.118743256701272,13.665148168773158,32.68842996565509,45.54992516600814,0.06728500049212016,0.42335088749823624,0.4685885643071378,0.7206477732793523
continuous,mixed,1.4,1,201,201,0,0,1.3821707692403788,1.3821707692403788,0.8733118790722791,0.6318407960199005,0.6318407960199005,0.0,1.3821707692403788,53.7363184079602,74.27276855007628,145.42341979237972,0.5784181846538559,1.7057761407631915,2.4264111767115537,3.2224611871351954,13.515224362519803,19.170701741270022,0.030661270997370593,0.3554177482539671,0.39399423206283246,0.7164179104477612
continuous,mixed,1.4,2,244,244,0,0,1.6462422256770064,1.6462422256770064,0.020240683102586143,0.012295081967213115,0.012295081967213115,0.0,1.6462422256770064,65.5327868852459,107.88284093678415,148.2163415530522,13.329297111995402,17.802618327258095,18.520689601030607,19.378967806187575,40.01359826270927,67.27618847119143,0.06764735448814463,0.4379096662378288,0.47970682063896675,0.6885245901639344
continuous,mixed,1.9,0,311,311,0,0,2.0793511431486906,2.0793511431486906,0.0,0.0,0.0,0.0,2.0793511431486906,63.4951768488746,132.0287685651357,149.56588790917885,45.03016237707925,82.36242192804639,85.00035566464939,54.382458544074325,95.83134821656859,108.08041125622694,0.0707612709957175,0.45766623925737804,0.5063630294011092,0.6977491961414791
