config,workload,rate_rps,seed,n,n_ok,n_shed,n_error,offered_rps,throughput_rps,goodput_rps,slo_attainment,slo_attainment_admitted,shed_rate,admitted_rps,mean_output_tokens,output_tok_per_s,window_s,ttft_p50,ttft_p95,ttft_p99,e2e_p50,e2e_p95,e2e_p99,itl_p50,itl_p95,itl_p99,shared_fraction
continuous,mixed,0.3,0,57,57,0,0,0.3919300578616241,0.3919300578616241,0.3644261941520364,0.9298245614035088,0.9298245614035088,0.0,0.3919300578616241,67.08771929824562,26.293693706365797,145.43411217550602,0.35023296238068724,0.5622779197074124,0.6133250017496173,1.2391133550481754,4.076508916517196,4.868137371234188,0.014740040998731274,0.02328569999881438,0.30255007206156737,0.7017543859649122
continuous,mixed,0.6,0,105,105,0,0,0.7571869571965798,0.7571869571965798,0.6490173918827826,0.8571428571428571,0.8571428571428571,0.0,0.7571869571965798,54.80952380952381,41.50105655872682,138.6711683317335,0.36451416967611294,0.7140345132225775,0.9073730024902028,1.3277706068693078,4.767881518437934,6.226842951948049,0.016213874499953818,0.05307329780080184,0.31841838232561726,0.7619047619047619
continuous,mixed,1.0,0,182,182,0,0,1.2337959126068294,1.2337959126068294,0.7795963184054142,0.6318681318681318,0.6318681318681318,0.0,1.2337959126068294,59.505494505494504,73.41763589852727,147.51224099572573,0.4407533322664676,1.2234168773095004,1.6824788140405136,2.949513249513984,11.02882756501567,15.581183902882392,0.021834145998582244,0.3396060208495328,0.3782792622395937,0.7417582417582418
continuous,mixed,1.4,0,247,247,0,0,1.670366027020888,1.670366027020888,0.02705046197604677,0.016194331983805668,0.016194331983805668,0.0,1.670366027020888,66.4574898785425,111.00833333420192,147.87178139663592,7.069655441358918,19.123494106165886,20.69124230738511,14.842566681814787,36.39791324583712,48.62232458295702,0.0699866459981422,0.4378764749977563,0.4810479068887071,0.7206477732793523
continuous,mixed,1.9,0,311,311,0,0,2.0793511431492977,2.0793511431492977,0.0,0.0,0.0,0.0,2.0793511431492977,63.72990353697749,132.51684777240862,149.5658879091352,38.46595141891157,73.11789620211493,75.98893037244997,47.61255016861833,87.19351653761987,98.39008636168728,0.06903833300748374,0.437446433599689,0.48990969000326,0.6977491961414791
continuous,mixed,2.6,0,412,412,0,0,2.7570054470196763,2.7570054470196763,0.0,0.0,0.0,0.0,2.7570054470196763,61.96844660194175,170.84734482490137,149.43749945992022,95.32326457463205,150.15002164883262,155.99155614906732,104.84487283689668,159.91971574363268,172.64802351885052,0.06943341699661687,0.44507792079821223,0.49366276743588966,0.7160194174757282
continuous+cache,mixed,0.3,0,57,57,0,0,0.3919300578616241,0.3919300578616241,0.37130216007943334,0.9473684210526315,0.9473684210526315,0.0,0.3919300578616241,67.08771929824562,26.293693706365797,145.43411217550602,0.06698880501789972,0.39916398679197296,0.44518255749979285,0.9661124056146946,3.620374149116103,4.57324671025475,0.014633124999818392,0.021109774900105547,0.056825967496988594,0.7017543859649122
continuous+cache,mixed,0.6,0,105,105,0,0,0.7571869571965798,0.7571869571965798,0.7211304354253141,0.9523809523809523,0.9523809523809523,0.0,0.7571869571965798,55.06666666666667,41.69576177629166,138.6711683317335,0.06581789493793622,0.43445133424102095,0.5896756520538471,0.8442918627260951,3.862970046000554,4.3779676450949045,0.01698045900411671,0.0266441334009869,0.07082742691476594,0.7619047619047619
continuous+cache,mixed,1.0,0,182,182,0,0,1.2337959126068294,1.2337959126068294,1.0982139441884966,0.8901098901098901,0.8901098901098901,0.0,1.2337959126068294,59.12637362637363,72.94987810748403,147.51224099572573,0.06733650291789672,0.661838285907288,0.8005328476695285,1.222853391765966,5.3747882251096595,8.313073093030761,0.02008462500089081,0.048140149700338954,0.3359215892398785,0.7417582417582418
continuous+cache,mixed,1.4,0,247,247,0,0,1.670366027020888,1.670366027020888,1.1902203269460578,0.7125506072874493,0.7125506072874493,0.0,1.670366027020888,66.64777327935222,111.32617626242047,147.87178139663592,0.09925905409181723,0.6404088746501644,0.9097491739656832,2.0170415042884997,9.86097198244242,14.405486057342191,0.037720707994594704,0.09079100810195084,0.366430158861913,0.7206477732793523
continuous+cache,mixed,1.9,0,311,311,0,0,2.0793511431492977,2.0793511431492977,1.156680860980156,0.5562700964630225,0.5562700964630225,0.0,2.0793511431492977,63.755627009646304,132.5703359047083,149.5658879091352,0.3198749471193878,0.9257555256190244,1.1787988149095328,3.5088492730574217,15.702088831989386,27.212181736770372,0.05816799998865463,0.3650742172030732,0.4008828902733512,0.6977491961414791
continuous+cache,mixed,2.6,0,412,412,0,0,2.7570054470196763,2.7570054470196763,1.0104558798542989,0.36650485436893204,0.36650485436893204,0.0,2.7570054470196763,61.62378640776699,169.8971147921907,149.43749945992022,0.5253409279102925,3.3322661824538953,3.942369825516215,5.463650619225518,19.727504139928335,32.59150424970254,0.07237175000773277,0.3924625332001596,0.43538404616061593,0.7160194174757282
fifo,mixed,0.3,0,57,57,0,0,0.3919300578616241,0.3919300578616241,0.3506742622972426,0.8947368421052632,0.8947368421052632,0.0,0.3919300578616241,67.6842105263158,26.527476547897294,145.43411217550602,0.575022709890618,3.5762391204247237,4.667099980336498,1.7153812406104407,4.855162356923392,5.182947085355699,0.012389333998726215,0.01298625000345055,0.014852709005936049,0.7017543859649122
fifo,mixed,0.6,0,105,105,0,0,0.7571869571965798,0.7571869571965798,0.3749878264211633,0.49523809523809526,0.49523809523809526,0.0,0.7571869571965798,55.333333333333336,41.89767829821075,138.6711683317335,3.2287231981827063,8.659272815549048,9.879091731903605,4.0970725099832634,9.45474051838828,10.137382411800209,0.012537082999187987,0.01326394979550969,0.015290150320797693,0.7619047619047619
fifo,mixed,1.0,0,182,182,0,0,1.2337959126068294,1.2337959126068294,0.0,0.0,0.0,0.0,1.2337959126068294,58.16483516483517,71.76353588382361,147.51224099572573,33.27555712515823,45.41793774962461,49.585262712848994,33.59340437420906,46.07693118197312,50.668058704215944,0.012523228997451952,0.013300867052385002,0.015397581998258825,0.7417582417582418
fifo,mixed,1.4,0,247,247,0,0,1.670366027020888,1.670366027020888,0.0,0.0,0.0,0.0,1.670366027020888,66.46558704453442,111.02185856518994,147.87178139663592,77.61706287115521,144.12436612567322,153.92283820439508,78.81587407915504,146.40918347927797,154.63909667280925,0.012543770499178208,0.013337591845993303,0.015007237962054203,0.7206477732793523
fifo,mixed,1.9,0,311,311,0,0,2.0793511431479828,2.0793511431479828,0.0,0.0,0.0,0.0,2.0793511431479828,63.62379421221865,132.29620922658884,149.5658879092298,133.94107889812585,237.00137383524998,240.35213395231767,135.4105472834708,237.46850968891158,241.048260868802,0.012589062498591375,0.013301010500072152,0.015064374751091236,0.6977491961414791
fifo,mixed,2.6,0,412,329,0,83,2.7570054470196763,2.201589301139499,0.0,0.0,0.0,0.0,2.7570054470196763,62.78115501519757,138.21831919463935,149.43749945992022,194.8015349021298,299.76309807221696,299.9630304638919,196.8614372361335,300.1469629816187,301.51345465270333,0.012636374995054211,0.013633531001687516,0.015033426992886234,0.7160194174757282
static,mixed,0.3,0,57,57,0,0,0.3919300578616241,0.3919300578616241,0.34379829636984566,0.8771929824561403,0.8771929824561403,0.0,0.3919300578616241,67.03508771929825,26.273065808583606,145.43411217550602,0.44155329250497743,3.045103779170312,3.7131632810237343,1.9585319645848358,4.665266553856781,5.354401120873515,0.012716583500150591,0.017133252648272902,0.019509156787607933,0.7017543859649122
static,mixed,0.6,0,105,105,0,0,0.7571869571965798,0.7571869571965798,0.5480591309232387,0.7238095238095238,0.7238095238095238,0.0,0.7571869571965798,54.94285714285714,41.60201481968637,138.6711683317335,1.109238823511987,3.7090068240373513,4.505463173189198,2.242230138508603,5.960024814169446,7.315350902675996,0.012893208499008324,0.02072219820329337,0.03139827282517217,0.7619047619047619
static,mixed,1.0,0,182,182,0,0,1.2337959126068294,1.2337959126068294,0.43386229893866535,0.3516483516483517,0.3516483516483517,0.0,1.2337959126068294,58.175824175824175,71.77709408066545,147.51224099572573,2.7979663254809566,8.175236047390353,10.403500508872966,4.893960025670822,11.364007127453805,11.941335657461169,0.016750812501413748,0.03980985449743457,0.04160273714805956,0.7417582417582418
