safety,admit_frac,slo_attainment_if_admitted,goodput_frac
0.6,0.11401098901098901,0.9759036144578314,0.11126373626373626
0.7,0.09065934065934066,0.9848484848484849,0.08928571428571429
0.8,0.0673076923076923,0.9795918367346939,0.06593406593406594
0.9,0.05357142857142857,1.0,0.05357142857142857
1.0,0.03708791208791209,1.0,0.03708791208791209
1.1,0.02197802197802198,1.0,0.02197802197802198
1.25,0.012362637362637362,1.0,0.012362637362637362
1.5,0.0027472527472527475,1.0,0.0027472527472527475
